TIME	VMS	RSS	%CPU	FD
Mon Oct 11 11:33:24 2021	2444	117	40	38
Mon Oct 11 11:33:25 2021	2732	270	41	114
Mon Oct 11 11:33:26 2021	2798	318	24	154
Mon Oct 11 11:33:27 2021	2808	332	6	157
Mon Oct 11 11:33:29 2021	2808	334	1	157
Mon Oct 11 11:33:30 2021	2808	334	0	157
Mon Oct 11 11:33:31 2021	2808	322	6	156
Mon Oct 11 11:33:32 2021	2808	323	2	156
Mon Oct 11 11:33:33 2021	2808	306	32	157
Mon Oct 11 11:33:34 2021	2815	313	19	169
Mon Oct 11 11:33:35 2021	2815	319	9	170
Mon Oct 11 11:33:37 2021	2815	320	34	170
Mon Oct 11 11:33:38 2021	2815	317	18	161
Mon Oct 11 11:33:39 2021	2804	294	4	81
Mon Oct 11 11:33:40 2021	2804	294	2	81
